domain	crop	chosen_width	score_8192	score_10240	score_12288	score_14336	score_16384
math	82	12288	1.614739	1.294302	0.219465	1.365204	2.900288
math	83	12288	5.201354	3.722338	0.842211	2.320085	4.190684
math	84	12288	1.710417	1.570434	0.185121	1.487932	3.096983
math	85	12288	5.825505	2.59095	0.452127	1.466414	3.486213
math	86	12288	2.902036	2.415003	0.671047	2.184066	3.982787
math	87	12288	5.995509	2.426497	0.472315	1.587116	2.726863
math	88	12288	1.632706	1.396661	0.193955	1.559956	3.511147
math	89	12288	3.834881	3.700657	0.628401	2.588123	4.064958
math	90	12288	3.725431	3.827597	0.585002	2.731998	3.997794
math	91	12288	2.003035	1.589209	0.218108	1.572236	3.111883
math	92	12288	2.311415	2.038577	0.261019	1.722827	3.638597
math	93	12288	2.206056	1.70061	0.251535	1.592368	3.495225
math	94	12288	2.15808	1.965629	0.336124	1.582413	3.288584
math	95	12288	6.617995	2.535814	0.597021	2.614879	3.923135
math	96	12288	3.055327	2.283467	0.512823	2.343234	3.649104
math	97	12288	5.18302	3.546306	0.751276	2.685493	4.617436
math	98	12288	4.54648	3.09246	0.650951	1.955766	4.052526
math	99	12288	4.68285	3.730572	0.983362	2.7458	4.529246
math	100	12288	4.20441	3.269103	0.549232	2.036007	4.156482
math	101	12288	3.964468	3.112251	0.509089	2.018543	3.825986
math	102	12288	1.769449	1.497003	0.171256	1.448383	3.046035
math	103	12288	6.193023	3.591881	0.6944	1.685623	3.232589
math	104	12288	4.407179	3.325633	0.665962	2.455171	3.890635
math	105	12288	2.799969	2.054597	0.285885	1.560076	3.313316
math	106	12288	3.259376	2.39105	0.47081	2.36028	3.828578
math	107	12288	4.275478	3.843187	0.692363	2.798313	4.260676
math	108	12288	2.263272	1.715487	0.314504	1.681154	3.154959
math	109	12288	6.097546	2.416754	0.485822	1.46171	3.547819
math	110	12288	5.822178	3.886364	0.790171	1.783907	2.760563
math	111	12288	2.276408	1.912401	0.420557	1.849723	3.54121
math	112	12288	4.675424	3.697271	0.928886	2.205158	3.909243
math	113	12288	2.31465	1.930933	0.224349	1.475173	3.263716
math	114	12288	2.775194	2.209508	0.495844	2.160893	3.930747
math	115	12288	5.630745	2.905672	0.571425	2.716506	3.492397
math	116	12288	5.357339	3.339019	0.704968	2.402257	4.169514
math	117	12288	5.013928	3.379494	0.889952	2.164043	4.366633
math	118	12288	4.255992	3.545527	0.581843	2.599598	4.153079
math	119	12288	1.411392	1.285174	0.299887	1.239828	2.798492
math	120	12288	2.236837	1.867619	0.31736	1.617038	3.436757
math	121	12288	4.492172	3.278479	0.574267	2.871264	4.437916
math	122	12288	2.992544	2.273081	0.404325	2.016196	3.632432
math	123	12288	6.574017	3.972416	0.647831	1.470186	2.864094
